                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r25.12.1"                               "gfortran"                                 "15.2.0"                   "aarch64-macos-26.3.2"                                 "CRMATH"                               "20260522"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83                                       84                                       85                                       86                                       87                                       88                                       89                                       90                                       91 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                       log_power_nuc_burn                           power_nuc_burn                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                     Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters                             model_number                                      age                              period_days                        binary_separation                                  v_orb_1                                  v_orb_2                                     rl_1                                     rl_2                   rl_relative_overflow_1                   rl_relative_overflow_2                              star_1_mass                              star_2_mass                        lg_mtransfer_rate                           lg_mstar_dot_1                           lg_mstar_dot_2                         lg_system_mdot_1                         lg_system_mdot_2                           lg_wind_mdot_1                           lg_wind_mdot_2                      fixed_xfer_fraction                        eff_xfer_fraction                                    J_orb                                     Jdot                                  jdot_mb                                  jdot_gr                                  jdot_ml                                  jdot_ls                        jdot_missing_wind                               extra_jdot                              donor_index                         point_mass_index 
                                       1                                     2491                  1.7677669529663690E+004                  4.2474250108400469E+000                  2.0000000000000000E+000                  3.3599535906024649E+001                 -9.8999999999999986E+001                  2.7782137247032540E-001                  1.3855723488843602E-001                  7.8132194325508664E-008                  9.9999999943620066E-001                  9.9999999838281550E-001                  1.3855723488843602E-001                  7.8132194325508664E-008                  9.9999999943620066E-001                  9.9999999838281550E-001                  1.2062711183294108E+000                  1.6079447362790432E+001                  1.2062711183294108E+000                 -3.7813159983182359E+001                 -9.8999999999999986E+001                  1.2062711183294108E+000                  1.6079447362790432E+001                  9.1237864096353316E-001                  8.9798433824943480E-001                 -3.7813159983182359E+001                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.7915065210760362E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.9572664712028942E+000                  1.2090803418009295E+000                  2.1266038935917250E-001                  4.3137768442487694E+000                  0.0000000000000000E+000                  1.7260002096709091E+001                  1.8070258803924024E+000                  7.3251717800398302E+000                  6.2214394979070631E-001                  8.4849599725769076E-001                  1.3006884388710587E+000                  6.9699019110803806E-001                  2.8244721594740141E-001                  2.9537962014020544E-005                  9.2815288731133549E-003                  3.4468833607860776E-003                  9.3805276451495462E-003                  1.3987450728113815E+000                  5.6086727991403806E-001                                        0                                        3                  1.0000000000000000E+000                  1.7677669529663690E+004                  1.9999999385348859E+000                  9.6345521208035745E+000                  8.1239720900403256E+001                  1.6247944180080651E+002                  4.2392437598823500E+000                  3.0906498650991563E+000                 -6.1507865043543586E-001                 -7.1223362349711117E-001                  2.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  2.1654983771952117E+052                 -3.9765487203787467E+032                  0.0000000000000000E+000                 -3.9765487203787467E+032                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                       2                                     1566                  3.8890872965260118E+004                  4.3266062568876711E+000                  2.0000000000000000E+000                  3.3599535906024649E+001                 -9.8999999999999986E+001                  2.7690225257715084E-001                  1.3695960719192268E-001                  7.8132191383417648E-008                  9.9999999943620077E-001                  9.9999999839530296E-001                  1.3695960719192268E-001                  7.8132191383417648E-008                  9.9999999943620077E-001                  9.9999999839530296E-001                  1.2054750758638384E+000                  1.6050001445846917E+001                  1.2054750758638384E+000                 -3.7813391413884148E+001                 -9.8999999999999986E+001                  1.2054750758638384E+000                  1.6050001445846917E+001                  9.1080311706532635E-001                  8.9799257749283767E-001                 -3.7813391413884148E+001                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.7981110169991807E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.9572632120833924E+000                  1.2090440555725144E+000                  2.1264876448396894E-001                  4.3138000939991761E+000                  0.0000000000000000E+000                  1.7260267375690539E+001                  1.8072442897051202E+000                  7.3252197620861565E+000                  6.2214637398977257E-001                  8.4849117829440135E-001                  1.3007006259689233E+000                  6.9698057315762907E-001                  2.8245695324817671E-001                  2.9564727468285189E-005                  9.2810891844619711E-003                  3.4468833607860776E-003                  9.3805276451495462E-003                  1.3987415951076627E+000                  5.6087046517176076E-001                                        0                                        3                  2.0000000000000000E+000                  3.8890872965260118E+004                  1.9999998647767505E+000                  9.6345518839280331E+000                  8.1239721899085026E+001                  1.6247944379817005E+002                  4.2392436556561082E+000                  3.0906497891122968E+000                 -6.1508894412561899E-001                 -7.1223183781914823E-001                  2.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  2.1654983505746901E+052                 -3.9765490055342653E+032                  0.0000000000000000E+000                 -3.9765490055342653E+032                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                       3                                     1141                  6.4346717087975827E+004                  4.4057875029352962E+000                  2.0000000000000000E+000                  3.3599535906024649E+001                 -9.8999999999999986E+001                  2.7476664432987224E-001                  1.3695960719192291E-001                  7.8132191605462253E-008                  9.9999999943620077E-001                  9.9999999839538911E-001                  1.3695960719192291E-001                  7.8132191605462253E-008                  9.9999999943620077E-001                  9.9999999839538911E-001                  1.2056158602438942E+000                  1.6055205186351387E+001                  1.2056158602438944E+000                 -3.7813014944652991E+001                 -9.8999999999999986E+001                  1.2056158602438942E+000                  1.6055205186351387E+001                  9.1104418872449999E-001                  8.9803004810785647E-001                 -3.7813014944652991E+001                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.8235841310457942E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.9572663027381925E+000                  1.2090297526200444E+000                  2.1263543169813448E-001                  4.3138267595708450E+000                  0.0000000000000000E+000                  1.7260443772280553E+001                  1.8074145743402503E+000                  7.3252292087290050E+000                  6.2215149024922267E-001                  8.4848539649605859E-001                  1.3007152622542921E+000                  6.9696901807552258E-001                  2.8246860323883227E-001                  2.9585177864614844E-005                  9.2805615331682956E-003                  3.4468833607860776E-003                  9.3805276451495462E-003                  1.3987374227432501E+000                  5.6087428994494071E-001                                        0                                        3                  3.0000000000000000E+000                  6.4346717087975827E+004                  1.9999997762669819E+000                  9.6345515996773603E+000                  8.1239723097503301E+001                  1.6247944619500660E+002                  4.2392435305846066E+000                  3.0906496979280575E+000                 -6.1510074930933500E-001                 -7.1222865037855687E-001                  2.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  2.1654983186300613E+052                 -3.9765493477209427E+032                  0.0000000000000000E+000                 -3.9765493477209427E+032                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                       4                                      987                  9.4893730035234679E+004                  4.4849687489829213E+000                  2.0000000000000000E+000                  3.3599535906024649E+001                 -9.8999999999999986E+001                  2.7289741587655436E-001                  1.3536417865494721E-001                  7.8132191383417648E-008                  9.9999999943620077E-001                  9.9999999839555342E-001                  1.3536417865494721E-001                  7.8132191383417648E-008                  9.9999999943620077E-001                  9.9999999839555342E-001                  1.2060053958933796E+000                  1.6069612185843869E+001                  1.2060053958933796E+000                 -3.7812355017757397E+001                 -1.4449439791871097E+001                  1.2060053958933796E+000                  1.6069612185843869E+001                  9.1168170619776179E-001                  8.9816391019791852E-001                 -3.7812355017757397E+001                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.8217168751572394E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.9572765588145309E+000                  1.2090548785745583E+000                  2.1262748252271485E-001                  4.3138426579216844E+000                  0.0000000000000000E+000                  1.7260602210452504E+001                  1.8075694192223055E+000                  7.3252370327203193E+000                  6.2215785225311326E-001                  8.4847839543291537E-001                  1.3007329884494510E+000                  6.9695502312809321E-001                  2.8248270295350530E-001                  2.9604173348379826E-005                  9.2799210151003481E-003                  3.4468833607860776E-003                  9.3805276451495462E-003                  1.3987324174374041E+000                  5.6087888744656322E-001                                        0                                        3                  4.0000000000000000E+000                  9.4893730035234679E+004                  1.9999996700552523E+000                  9.6345512585765221E+000                  8.1239724535605447E+001                  1.6247944907121089E+002                  4.2392433804987917E+000                  3.0906495885069609E+000                 -6.1510778068042549E-001                 -7.1222306184122619E-001                  2.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  2.1654982802965028E+052                 -3.9765497583450400E+032                  0.0000000000000000E+000                 -3.9765497583450400E+032                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                       5                                      964                  1.3155014557194529E+005                  4.5641499950305455E+000                  2.0000000000000000E+000                  3.3599535906024649E+001                 -9.8999999999999986E+001                  2.7128646998174710E-001                  1.3536417865494721E-001                  7.8132191383417648E-008                  9.9999999943620077E-001                  9.9999999839573384E-001                  1.3536417865494721E-001                  7.8132191383417648E-008                  9.9999999943620077E-001                  9.9999999839573384E-001                  1.2066335563952750E+000                  1.6092871977890706E+001                  1.2066335563952750E+000                 -3.7811572207111148E+001                 -1.4449439791871097E+001                  1.2066335563952750E+000                  1.6092871977890706E+001                  9.1281930823314528E-001                  8.9826589601273132E-001                 -3.7811572207111148E+001                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.8217203997984681E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.9572886983218485E+000                  1.2090962677049195E+000                  2.1262389807325979E-001                  4.3138498268205945E+000                  0.0000000000000000E+000                  1.7260754799596839E+001                  1.8077165300691322E+000                  7.3252475829512687E+000                  6.2216544019224285E-001                  8.4846998978686039E-001                  1.3007542772846474E+000                  6.9693821443785364E-001                  2.8249961794306749E-001                  2.9618335033623610E-005                  9.2791519476576809E-003                  3.4468833607860776E-003                  9.3805276451495462E-003                  1.3987264147375562E+000                  5.6088442005665862E-001                                        0                                        3                  5.0000000000000000E+000                  1.3155014557194529E+005                  1.9999995426011672E+000                  9.6345508492554774E+000                  8.1239726261328258E+001                  1.6247945252265652E+002                  4.2392432003957996E+000                  3.0906494572016321E+000                 -6.1511094102330566E-001                 -7.1221686267962847E-001                  2.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  2.1654982342962269E+052                 -3.9765502510940742E+032                  0.0000000000000000E+000                 -3.9765502510940742E+032                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                       6                                      964                  1.7553784421599802E+005                  4.6433312410781706E+000                  2.0000000000000000E+000                  3.3599535906024649E+001                 -9.8999999999999986E+001                  2.7008306907848312E-001                  1.3218029330580139E-001                  7.8132191383417648E-008                  9.9999999943620077E-001                  9.9999999839588893E-001                  1.3218029330580139E-001                  7.8132191383417648E-008                  9.9999999943620077E-001                  9.9999999839588893E-001                  1.2070189619535265E+000                  1.6107159599364639E+001                  1.2070189619535268E+000                 -3.7810751710454184E+001                 -9.8999999999999986E+001                  1.2070189619535265E+000                  1.6107159599364639E+001                  9.1354982612982438E-001                  8.9829413974475381E-001                 -3.7810751710454184E+001                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.8207508946048980E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.9573020763288778E+000                  1.2091497062459633E+000                  2.1262386132972338E-001                  4.3138499003076678E+000                  0.0000000000000000E+000                  1.7260899179171940E+001                  1.8078558122808361E+000                  7.3252589166777327E+000                  6.2217469553600380E-001                  8.4845980911476093E-001                  1.3007800608600972E+000                  6.9691785834538977E-001                  2.8252010906887548E-001                  2.9633687843976095E-005                  9.2782181929646663E-003                  3.4468833607860776E-003                  9.3805276451495462E-003                  1.3987192149196499E+000                  5.6089107224670864E-001                                        0                                        3                  6.0000000000000000E+000                  1.7553784421599802E+005                  1.9999993896562480E+000                  9.6345503580701592E+000                  8.1239728332196051E+001                  1.6247945666439210E+002                  4.2392429842721766E+000                  3.0906492996352166E+000                 -6.1511095396460946E-001                 -7.1220905395947665E-001                  2.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  2.1654981790958875E+052                 -3.9765508423930690E+032                  0.0000000000000000E+000                 -3.9765508423930690E+032                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                       7                                      962                  2.2832308258886132E+005                  4.7225124871257957E+000                  2.0000000000000000E+000                  3.3599535906024649E+001                 -9.8999999999999986E+001                  2.6892105475128397E-001                  1.3218029330580139E-001                  7.8132191383417648E-008                  9.9999999943620077E-001                  9.9999999839602050E-001                  1.3218029330580139E-001                  7.8132191383417648E-008                  9.9999999943620077E-001                  9.9999999839602050E-001                  1.2075063444706744E+000                  1.6125245840271170E+001                  1.2075063444706742E+000                 -3.7809659708521309E+001                 -1.4449439791871097E+001                  1.2075063444706744E+000                  1.6125245840271170E+001                  9.1448417119659942E-001                  8.9831809453316414E-001                 -3.7809659708521309E+001                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.8214675587262473E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.9573167962037230E+000                  1.2092189250073297E+000                  2.1262903096071661E-001                  4.3138395610456808E+000                  0.0000000000000000E+000                  1.7261036164058794E+001                  1.8079827962923756E+000                  7.3252762963028530E+000                  6.2218563889407064E-001                  8.4844758325727410E-001                  1.3008110297300959E+000                  6.9689340836375835E-001                  2.8254470645781654E-001                  2.9645859336839648E-005                  9.2770967633492296E-003                  3.4468833607860776E-003                  9.3805276451495462E-003                  1.3987105795952455E+000                  5.6089907478847922E-001                                        0                                        3                  7.0000000000000000E+000                  2.2832308258886129E+005                  1.9999992061223215E+000                  9.6345497686476858E+000                  8.1239730817238041E+001                  1.6247946163447608E+002                  4.2392427249237903E+000                  3.0906491105554892E+000                 -6.1510634885768589E-001                 -7.1220069551033116E-001                  2.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  2.1654981128554684E+052                 -3.9765515519521108E+032                  0.0000000000000000E+000                 -3.9765515519521108E+032                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                       8                                      962                  2.9166536863629724E+005                  4.8016937331734200E+000                  2.0000000000000000E+000                  3.3599535906024649E+001                 -9.8999999999999986E+001                  2.6823638450771764E-001                  1.3218029330580139E-001                  7.8132191383417648E-008                  9.9999999943620077E-001                  9.9999999839611298E-001                  1.3218029330580139E-001                  7.8132191383417648E-008                  9.9999999943620077E-001                  9.9999999839611298E-001                  1.2079002574212414E+000                  1.6139878364899435E+001                  1.2079002574212412E+000                 -3.7808304897862129E+001                 -1.4148409796207115E+001                  1.2079002574212414E+000                  1.6139878364899435E+001                  9.1522857484902509E-001                  8.9834792493441806E-001                 -3.7808304897862129E+001                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.8228210581865337E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.9573357364210602E+000                  1.2093193371785322E+000                  2.1264135661164252E-001                  4.3138149097438285E+000                  0.0000000000000000E+000                  1.7261163120916947E+001                  1.8080953267066300E+000                  7.3252995296528596E+000                  6.2219867469853463E-001                  8.4843289837624247E-001                  1.3008482305772486E+000                  6.9686403956477916E-001                  2.8257424843832629E-001                  2.9657265750248753E-005                  9.2757496336665045E-003                  3.4468833607860776E-003                  9.3805276451495462E-003                  1.3987002205281991E+000                  5.6090869865510584E-001                                        0                                        3                  8.0000000000000000E+000                  2.9166536863629724E+005                  1.9999989858815799E+000                  9.6345490613405946E+000                  8.1239733799289183E+001                  1.6247946759857837E+002                  4.2392424137056741E+000                  3.0906488836597776E+000                 -6.1509539683257675E-001                 -7.1219180606496868E-001                  2.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  2.1654980333669486E+052                 -3.9765524034233066E+032                  0.0000000000000000E+000                 -3.9765524034233066E+032                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                       9                                      962                  3.6767611189322040E+005                  4.8808749792210451E+000                  2.0000000000000000E+000                  3.3599535906024649E+001                 -9.8999999999999986E+001                  2.6796732317243371E-001                  1.3218029330580139E-001                  7.8132191383417648E-008                  9.9999999943620077E-001                  9.9999999839617471E-001                  1.3218029330580139E-001                  7.8132191383417648E-008                  9.9999999943620077E-001                  9.9999999839617471E-001                  1.2082088706105518E+000                  1.6151351569663440E+001                  1.2082088706105516E+000                 -3.7806596650902520E+001                 -1.4449439791871097E+001                  1.2082088706105518E+000                  1.6151351569663440E+001                  9.1576489514758264E-001                  8.9841967932497024E-001                 -3.7806596650902520E+001                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.8246408195576464E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.9573626818351264E+000                  1.2094650049937321E+000                  2.1266029969111047E-001                  4.3137770235848931E+000                  0.0000000000000000E+000                  1.7261284864526800E+001                  1.8081966850712701E+000                  7.3253304086973117E+000                  6.2221419821663937E-001                  8.4841525581068689E-001                  1.3008929270833367E+000                  6.9682875542592282E-001                  2.8260973996436628E-001                  2.9669661695958361E-005                  9.2741308782355505E-003                  3.4468833607860776E-003                  9.3805276451495462E-003                  1.3986877905418773E+000                  5.6092026854537302E-001                                        0                                        3                  9.0000000000000000E+000                  3.6767611189322034E+005                  1.9999987215926420E+000                  9.6345482125719002E+000                  8.1239737377751808E+001                  1.6247947475550362E+002                  4.2392420402438518E+000                  3.0906486113848635E+000                 -6.1507857376709874E-001                 -7.1218235873775160E-001                  2.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  2.1654979379807001E+052                 -3.9765534251892254E+032                  0.0000000000000000E+000                 -3.9765534251892254E+032                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
